2026-01-10 13:43:46.850 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 15:27:07.789 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 15:27:07.795 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 15:27:07.795 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 15:27:08.335 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 15:27:08.337 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 15:30:27.677 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: 'PlatformDetector' object has no attribute 'get_platform_rules'
2026-01-10 15:30:28.198 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: 'PlatformDetector' object has no attribute 'get_platform_rules'
2026-01-10 15:30:28.222 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 15:30:28.235 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 15:30:28.268 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: Could not determine join condition between parent/child tables on relationship User.jobs - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2026-01-10 15:30:28.550 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: Could not determine join condition between parent/child tables on relationship User.jobs - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2026-01-10 15:30:52.214 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: 'PlatformDetector' object has no attribute 'get_platform_rules'
2026-01-10 15:30:52.235 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 15:30:52.250 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 15:30:52.264 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: 'PlatformDetector' object has no attribute 'get_platform_rules'
2026-01-10 15:30:52.280 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: Could not determine join condition between parent/child tables on relationship User.jobs - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2026-01-10 15:30:52.309 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: Could not determine join condition between parent/child tables on relationship User.jobs - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2026-01-10 19:45:24.125 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 19:45:24.154 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 19:45:24.154 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 19:45:24.817 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 19:45:24.819 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 19:45:29.527 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 19:45:29.812 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: 'PlatformDetector' object has no attribute 'get_platform_rules'
2026-01-10 19:45:29.827 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: 'PlatformDetector' object has no attribute 'get_platform_rules'
2026-01-10 19:45:29.830 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 19:45:29.866 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: Could not determine join condition between parent/child tables on relationship User.jobs - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2026-01-10 19:45:30.193 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: Could not determine join condition between parent/child tables on relationship User.jobs - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2026-01-10 19:45:39.480 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: 'PlatformDetector' object has no attribute 'get_platform_rules'
2026-01-10 19:45:39.500 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 19:45:39.516 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 19:45:39.529 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: 'PlatformDetector' object has no attribute 'get_platform_rules'
2026-01-10 19:45:39.544 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: Could not determine join condition between parent/child tables on relationship User.jobs - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2026-01-10 19:45:39.561 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: Could not determine join condition between parent/child tables on relationship User.jobs - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2026-01-10 19:55:31.968 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 19:55:35.542 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 19:55:35.542 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 19:55:35.542 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 19:55:35.671 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 19:55:35.673 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 19:55:39.837 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 19:55:48.963 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 19:55:48.963 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 19:55:48.963 | INFO     | app.main:lifespan:26 - Debug mode: True
